Prof Name,Course Number
"Arai, Bernard",MUSC 1054
"Logan, Emily",MUSC 1060
"Plumley, Patricia",MUSC 1090
"Hayley, Dory",MUSC 1104
"Arai, Bernard",MUSC 1155
"Hayley, Dory",MUSC 1204
"Kremer, Paula",MUSC 1301
"Morrison, Ken",MUSC 1301
"Morrison, Ken",MUSC 1303
"Duke, David",MUSC 1305
"Logan, Emily",MUSC 1310
"Couling, Georges",MUSC 1319
"Logan, Emily",MUSC 1399
"Logan, Emily",MUSC 1410
"Hayley, Dory",MUSC 2104
"Hayley, Dory",MUSC 2204
"Kremer, Paula",MUSC 2301
"Peiris, Eshantha",MUSC 2303
"Duke, David",MUSC 2305
"Logan, Emily",MUSC 2310
"Mollerup, Laurence",MUSC 2317
"Houle, Francois",MUSC 2407
"Logan, Emily",MUSC 2410
"Korsrud, John",MUSC 2490
"Plumley, Patricia",MUSC 2490
"Scott, Craig",MUSC 2490
"Siddall, Jon",MUSC 2490
"Wallace, Russell",MUSC 2490
"Morrison, Ken",MUSC 3103
"Arai, Bernard",MUSC 3104
"Mollerup, Laurence",MUSC 3104
"Morgan, Deirdre",MUSC 3106
"Houle, Francois",MUSC 3107
"Logan, Emily",MUSC 3109
"Van Wyck, Gerald",MUSC 3113
"Logan, Emily",MUSC 3130
"Korsrud, John",MUSC 3190
"Plumley, Patricia",MUSC 3190
"Scott, Craig",MUSC 3190
"Siddall, Jon",MUSC 3190
"Wallace, Russell",MUSC 3190
"Arai, Bernard",MUSC 3204
"Andrews, Curtis",MUSC 3206
"Morrison, Ken",MUSC 3208
"Logan, Emily",MUSC 3209
"Van Wyck, Gerald",MUSC 3213
"Houle, Francois",MUSC 3217
"Hayley, Dory",MUSC 3230
"Magnanensi, Giorgio",MUSC 3290
"Mollerup, Laurence",MUSC 3290
"Plumley, Patricia",MUSC 3290
"Tempest, Jim",MUSC 3290
"Wallace, Russell",MUSC 3290
"Duke, David",MUSC 4106
"Magnanensi, Giorgio",MUSC 4106
"Duke, David",MUSC 4107
"Hayley, Dory",MUSC 4204
"Mollerup, Laurence",MUSC 4204
"Duke, David",MUSC 4206
"Morgan, Deirdre",MUSC 4206
"Logan, Emily",MUSC 4209
"Logan, Emily",MUSC 4230
"Arai, Bernard",MUSC 4304
"Mollerup, Laurence",MUSC 4304
"Logan, Emily",MUSC 4309
"Logan, Emily",MUSC 4330
"Overton, Catherine",NURS 0120
"Overton, Catherine",NURS 0230
"Overton, Catherine",NURS 0340
"Savage, Chelsea",NURS 1001
"Kooner, Pavan",NURS 1002
"Brunt, Caroline",NURS 1003
"Sandhu, Jaspal",NURS 1004
"Bakshi, Tammy",NURS 1005
"Kooner, Pavan",NURS 1006
"Mateo, Lauren",NURS 1007
"Gomez, Nelly",NURS 1150
"Chech Matthew, Soniya",NURS 1153
"Gomez, Nelly",NURS 1161
"Gomez, Nelly",NURS 1162
"Adagbonyin, Maurice",NURS 1164
"Atwal, Sandy",NURS 1358
"Villasenor, Sherrymae",NURS 1359
"Savage, Chelsea",NURS 2001
"Dhaliwal, Kulwant",NURS 2004
"Dhaliwal, Kulwant",NURS 2006
"Hearn, Brett",NURS 2101
"Sandhu, Jaspal",NURS 2102
"Brunt, Caroline",NURS 2103
"Gallon, Ron",NURS 2104
"Bakshi, Tammy",NURS 2105
"Barragan, Anastasia",NURS 2106
"Novak, Signy",NURS 2107
"Hearn, Brett",NURS 3001
"Kooner, Pavan",NURS 3002
"Brunt, Caroline",NURS 3003
"Barragan, Anastasia",NURS 3004
"Athwal, Prabhroop",NURS 3005
"Brunt, Caroline",NURS 3006
"Sandhu, Herraj",NURS 3262
"Sandhu, Herraj",NURS 3263
"Khader, Dania",NURS 3264
"Sandhu, Herraj",NURS 3266
"Keshvardoost, Maasoumeh",NURS 3370
"Hearn, Brett",NURS 4001
"Overton, Catherine",NURS 4002
"Rama, Kiran",NURS 4003
"Cohen, Jason",NURS 4004
"Cohen, Jason",NURS 4005
"Gill, Kiran",NURS 4006
"Laliberte, Shari",NURS 4064
"Laliberte, Shari",NURS 4163
"Laliberte, Shari",NURS 4165
"Laliberte, Shari",NURS 4166
"Salonga, Ria",OADM 1102
"Salonga, Ria",OADM 1103
"Salonga, Ria",OADM 1104
"Salonga, Ria",OADM 1105
"Huie, Kim",OADM 1106
"Salonga, Ria",OADM 1107
"Salonga, Ria",OADM 1108
"Alashhab, Caroline",OADM 1109
"El Rayess, Sara",OADM 1140
"El Rayess, Sara",OADM 1150
"Loeppky, Nicole",OADM 1150
"El Rayess, Sara",OADM 1160
"Loeppky, Nicole",OADM 1160
"El Rayess, Sara",OADM 1170
"El Rayess, Sara",OADM 1180
"Loeppky, Nicole",OADM 1180
"El Rayess, Sara",OADM 1190
"Loeppky, Nicole",OADM 1190
"Salonga, Ria",OADM 1201
"Huie, Kim",OADM 1202
"Alashhab, Caroline",OADM 1203
"Salonga, Ria",OADM 1203
"Huie, Kim",OADM 1204
"Salonga, Ria",OADM 1204
"Huie, Kim",OADM 1205
"Huie, Kim",OADM 1206
"Alashhab, Caroline",OADM 1207
"Huie, Kim",OADM 1207
"Alashhab, Caroline",OADM 1208
"Alashhab, Caroline",OADM 1209
"Huie, Kim",OADM 1209
"El Rayess, Sara",OADM 1250
"Loeppky, Nicole",OADM 1250
"El Rayess, Sara",OADM 1260
"El Rayess, Sara",OADM 1270
"Loeppky, Nicole",OADM 1270
"El Rayess, Sara",OADM 1456
"Loeppky, Nicole",OADM 1456
"El-Menshawy, Moataz",OPMT 1005
"Zahedi-Seresht, Maz",OPMT 1005
"El-Menshawy, Moataz",OPMT 1110
"Zahedi-Seresht, Maz",OPMT 1120
"Zahedi-Seresht, Maz",OPMT 1130
"Playford, Kristen",OPTA 1131
"Makepeace, Elizabeth",OPTA 1132
"Hochfeld, Claire",OPTA 1133
"Fraser, Stephanie",OPTA 1134
"Doan, Lauren",OPTA 1135
"Doan, Lauren",OPTA 1136
"Playford, Kristen",OPTA 1234
"Doan, Lauren",OPTA 1235
"Doan, Lauren",OPTA 1236
"Playford, Kristen",OPTA 1241
"Fraser, Stephanie",OPTA 1242
"Makepeace, Elizabeth",OPTA 1243
"Playford, Kristen",OPTA 1244
"Hochfeld, Claire",OPTA 1245
"Gavino, Clarissa",OPTA 1246
"Fraser, Stephanie",OPTA 1351
"Gavino, Clarissa",OPTA 1352
"Doan, Lauren",OPTA 1353
"Kimoto, Carmen",OPTA 1354
"Playford, Kristen",OPTA 2431
"Hochfeld, Claire",OPTA 2432
"Gavino, Clarissa",OPTA 2433
"Doan, Lauren",OPTA 2434
"Kimoto, Carmen",OPTA 2435
"Playford, Kristen",OPTA 2531
"Hochfeld, Claire",OPTA 2532
"Doan, Lauren",OPTA 2533
"Kimoto, Carmen",OPTA 2534
"Chen, Charles",PGMT 2001
"Sandoval Madrid, Ada",PGMT 2001
"Zhou, Gordon",PGMT 2001
"Arostique, Alain",PGMT 2002
"Sandoval Madrid, Ada",PGMT 2002
"Marques, Gabriella",PGMT 2003
"Vo, Jennifer",PHAR 1101
"Vo, Jennifer",PHAR 1102
"Vo, Jennifer",PHAR 1103
"Vo, Jennifer",PHAR 1104
"Vo, Jennifer",PHAR 1105
"Vo, Jennifer",PHAR 1106
"Vo, Jennifer",PHAR 1201
"Vo, Jennifer",PHAR 1202
"Vo, Jennifer",PHAR 1203
"Vo, Jennifer",PHAR 1204
"Vo, Jennifer",PHAR 1205
"Vo, Jennifer",PHAR 1206
"Vo, Jennifer",PHAR 1207
"Vo, Jennifer",PHAR 1208
"Vo, Jennifer",PHAR 1309
"Bhanot, Manav",PHYS 0861
"Farley, Richard",PHYS 0861
"Mohammadbeigi, Faezeh",PHYS 0861
"Bhanot, Manav",PHYS 0871
"Farley, Richard",PHYS 0871
"Mohammadbeigi, Faezeh",PHYS 0871
"Farley, Richard",PHYS 0983
"Farley, Richard",PHYS 0993
"Bekirov, Aydan",PHYS 1100
"O'Sullivan, Angela",PIDP 3100
"Carroll, Christopher",PIDP 3210
"Harapnuik, Dwayne",PIDP 3210
"Carroll, Christopher",PIDP 3220
"Harrison, Jacqueline",PIDP 3220
"Leibel, Cindy",PIDP 3230
"Leibel, Cindy",PIDP 3240
"Brooke, Karen",PIDP 3270
"Harrison, Jacqueline",PIDP 3270
"Leibel, Cindy",PIDP 3310
"Harapnuik, Dwayne",PIDP 3320
"Harapnuik, Dwayne",PIDP 3330
"Harapnuik, Dwayne",PIDP 3340
"Harapnuik, Dwayne",PIDP 3351
"Carroll, Christopher",PIDP 3360
"Harrison, Jacqueline",PIDP 3370
"Harrison, Jacqueline",PIDP 3401
"Sweiss, Lina",PSYC 1100
"Wong, Ben",PSYC 1100
"Sweiss, Lina",PSYC 1200
"Wong, Ben",PSYC 1200
"Deacon, Leeann",REHC 0601
"Deacon, Leeann",REHC 0602
"Deacon, Leeann",REHC 0603
"Deacon, Leeann",REHC 0604
"Deacon, Leeann",REHC 0605
"Deacon, Leeann",REHC 0606
"Deacon, Leeann",REHC 0607
"Deacon, Leeann",REHC 0608
"Deacon, Leeann",REHC 0609
"Deacon, Leeann",REHC 0610
"Deacon, Leeann",REHC 0611
"Manning, Garth",SCIE 0751
"Habibzadeh Gharehbaba, Ali",SCIE 1100
"Read, Jennifer",SCIE 1110
"Klassen, Maria",SIGN 1100
"Desmarais, Roger",SIGN 1200
"Desmarais, Roger",SIGN 1300
"Carmichael, Brenda",SIGN 1400
"Carmichael, Brenda",SIGN 1500
"Klassen, Maria",SIGN 2100
"Desmarais, Roger",SIGN 2200
"Desmarais, Roger",SIGN 2300
"Carmichael, Brenda",SIGN 2400
"Carmichael, Brenda",SIGN 2500
"Klassen, Maria",SIGN 3100
"Desmarais, Roger",SIGN 3200
"Desmarais, Roger",SIGN 3300
"Carmichael, Brenda",SIGN 3400
"Olijnek, Darcie",SOCI 1100
"Olijnek, Darcie",SOCI 1200
"Manning, Garth",SOSC 0751
"Manning, Garth",SOSC 0861
"Lefaivre, Jillian",SOSC 0999
"Tremblay, Lisa",SOSC 0999
"White, Jordan",SOSC 0999
"Mauger, Douglas",TRAI 3001
"Mauger, Douglas",TRAI 3002
"Mauger, Douglas",TRAI 3003
"Mauger, Douglas",TRAI 3004
"McDonald, Janet",VCDP 1110
"LaChance, Jason",VCDP 1111
"LaChance, Jason",VCDP 1120
"LaChance, Jason",VCDP 1121
"Spitz, Ashlea",VCDP 1130
"McDonald, Janet",VCDP 1132
"McDonald, Janet",VCDP 1140
"Spitz, Ashlea",VCDP 1250
"LaChance, Jason",VCDP 1253
"McDonald, Janet",VCDP 1293
"LaChance, Jason",VCDP 2312
"McDonald, Janet",VCDP 2320
"Spitz, Ashlea",VCDP 2325
"Bantados, Jon",VCDP 2350
"McDonald, Janet",VCDP 2430
"Bantados, Jon",VCDP 2440
"LaChance, Jason",VCDP 2445
"Bantados, Jon",VCDP 2455
"Spitz, Ashlea",VCDP 2455
"Bantados, Jon",VCDP 2460
"Emberline, Anne",VCDP 2465
"Spitz, Ashlea",VCDP 2465
"McDonald, Janet",VCDP 2470
"McDonald, Janet",VCDP 2480
"Spitz, Ashlea",VCDP 2480
"McDonald, Janet",VCDP 2490
"Spitz, Ashlea",VCDP 2490
"LaChance, Jason",VCDP 2495
"Spitz, Ashlea",VCDP 2495
"Spitz, Ashlea",VCDP 2500
"Corbett, Jennifer",VOVI 0311
"Corbett, Jennifer",VOVI 0312
"Corbett, Jennifer",VOVI 0700
"Corbett, Jennifer",VOVI 0705
"Corbett, Jennifer",VOVI 0711
"Corbett, Jennifer",VOVI 0712
"Corbett, Jennifer",VOVI 0721
"Corbett, Jennifer",VOVI 0722
"Corbett, Jennifer",VOVI 0740
"Corbett, Jennifer",VOVI 0741
"Corbett, Jennifer",VOVI 0742
"Corbett, Jennifer",VOVI 0751
"Corbett, Jennifer",VOVI 0752
"Corbett, Jennifer",VOVI 0761
"Corbett, Jennifer",VOVI 0762
"Corbett, Jennifer",VOVI 0811
"Corbett, Jennifer",VOVI 0812
"Corbett, Jennifer",VOVI 0821
"Corbett, Jennifer",VOVI 0822
"Corbett, Jennifer",VOVI 0831
"Corbett, Jennifer",VOVI 0832
"Corbett, Jennifer",VOVI 0841
"Corbett, Jennifer",VOVI 0842
