Prof Name,Course Number
"Au-Wong, Elaine",DAST 1404
"Larson, Cathy",DAST 1404
"Lo Yan, Ling",DAST 1404
"Au-Wong, Elaine",DAST 1405
"Lo Yan, Ling",DAST 1405
"Au-Wong, Elaine",DAST 1406
"Lo Yan, Ling",DAST 1406
"Au-Wong, Elaine",DAST 1407
"Lo Yan, Ling",DAST 1407
"Au-Wong, Elaine",DAST 1408
"Lo Yan, Ling",DAST 1408
"Parisotto, Heidi",DAST 1408
"Au-Wong, Elaine",DAST 1508
"Lo Yan, Ling",DAST 1508
"Larson, Cathy",DAST 1510
"Parisotto, Heidi",DAST 1510
"Lo Yan, Ling",DAST 1511
"Parisotto, Heidi",DAST 1511
"Au-Wong, Elaine",DAST 1512
"Lo Yan, Ling",DAST 1512
"Parisotto, Heidi",DAST 1512
"Au-Wong, Elaine",DAST 1513
"Lo Yan, Ling",DAST 1513
"Parisotto, Heidi",DAST 1513
"Au-Wong, Elaine",DAST 1514
"Lo Yan, Ling",DAST 1514
"Parisotto, Heidi",DAST 1514
"Au-Wong, Elaine",DAST 1515
"Lo Yan, Ling",DAST 1515
"Au-Wong, Elaine",DAST 1516
"Lo Yan, Ling",DAST 1516
"Parisotto, Heidi",DAST 1516
"Parisotto, Heidi",DAST 1517
"Parisotto, Heidi",DAST 1518
"Larson, Cathy",DAST 1600
"Roberts, Reena",DENT 1100
"Szeto, Ann",DENT 1105
"Roberts, Reena",DENT 1110
"Szeto, Ann",DENT 1115
"Szeto, Ann",DENT 1125
"Hirose, Ayumi",DENT 1130
"Szeto, Ann",DENT 1135
"Szeto, Ann",DENT 1145
"Sumra, Karam",DENT 1170
"Park, Tony",DENT 1180
"Szeto, Ann",DENT 1190
"Szeto, Ann",DENT 1205
"Sumra, Karam",DENT 1210
"Szeto, Ann",DENT 1215
"Szeto, Ann",DENT 1225
"Szeto, Ann",DENT 1235
"Roberts, Reena",DENT 1240
"Szeto, Ann",DENT 1245
"Roberts, Reena",DENT 1250
"Szeto, Ann",DENT 1255
"Roberts, Reena",DENT 1260
"Sumra, Karam",DENT 1270
"Roberts, Reena",DENT 1280
"Szeto, Ann",DENT 1345
"Szeto, Ann",DENT 1355
"Szeto, Ann",DENT 1390
"Roberts, Reena",DENT 2330
"Strilets, Andrei",DENT 2340
"Roberts, Reena",DENT 2350
"Roberts, Reena",DENT 2360
"Roberts, Reena",DENT 2380
"Strilets, Andrei",DENT 2440
"Roberts, Reena",DENT 2450
"Roberts, Reena",DENT 2460
"Izumi, Ken",DENT 2510
"Roberts, Reena",DENT 2510
"Roberts, Reena",DENT 2530
"Dillon Edgett, Lisa",DHHE 0618
"Dillon Edgett, Lisa",DHHE 0619
"Dillon Edgett, Lisa",DHHE 0621
"Tanaka, Marcia",DHHR 0610
"Tanaka, Marcia",DHHR 0616
"Tanaka, Marcia",DHHR 0617
"Tanaka, Marcia",DHHR 0618
"Tanaka, Marcia",DHHR 0619
"Tanaka, Marcia",DHHR 0620
"Tanaka, Marcia",DHHR 0626
"Tanaka, Marcia",DHHR 0627
"Tanaka, Marcia",DHHR 0628
"Tanaka, Marcia",DHHR 0629
"Tanaka, Marcia",DHHR 0631
"Tanaka, Marcia",DHHR 0632
"Tanaka, Marcia",DHHR 0633
"Tanaka, Marcia",DHHR 0634
"Sarkissian, Mya",DHYG 2114
"La Chimea, Teresa",DHYG 2124
"Beerwald, Denise",DHYG 2134
"Lunn, Ruth",DHYG 2144
"Sarkissian, Mya",DHYG 2214
"La Chimea, Teresa",DHYG 2224
"Ariss, Amber",DHYG 3244
"Lunn, Ruth",DHYG 3254
"Wright, Cheryl",DHYG 3314
"Baily, Nancy",DHYG 3324
"Macdonald, Jade",DHYG 3364
"Beerwald, Denise",DHYG 3434
"Ariss, Amber",DHYG 4344
"Wright, Cheryl",DHYG 4414
"Macdonald, Jade",DHYG 4464
"Arai, Bernard",DNCE 1111
"Arai, Bernard",DNCE 1211
"Korsrud, John",DNCE 2111
"Gordon, Artemis",DNCE 2114
"Korsrud, John",DNCE 2211
"Gordon, Artemis",DNCE 2214
"Magnanensi, Giorgio",DNCE 2215
"Larson, Cathy",DNTL 1107
"Terpstra, Jadene",DREC 1111
"Terpstra, Jadene",DREC 1112
"Squires, Ellen",DREC 1113
"Terpstra, Jadene",DREC 1114
"Squires, Ellen",DREC 1121
"Della-Savia, Maurice",DRFT 1010
"McGarvie, Bruce",DRFT 1010
"Snow, Michael",DRFT 1010
"Della-Savia, Maurice",DRFT 1011
"McGarvie, Bruce",DRFT 1011
"Snow, Michael",DRFT 1011
"Della-Savia, Maurice",DRFT 1012
"Snow, Michael",DRFT 1012
"Wightman, Kelly",DRFT 1012
"Della-Savia, Maurice",DRFT 1013
"Snow, Michael",DRFT 1013
"Wightman, Kelly",DRFT 1013
"Della-Savia, Maurice",DRFT 1110
"Della-Savia, Maurice",DRFT 1115
"Wightman, Kelly",DRFT 1120
"Wightman, Kelly",DRFT 1125
"Miro, Carolino",DRFT 1130
"Miro, Carolino",DRFT 1135
"Della-Savia, Maurice",DRFT 1200
"Della-Savia, Maurice",DRFT 1201
"Della-Savia, Maurice",DRFT 1202
"McGarvie, Bruce",DRFT 1213
"McGarvie, Bruce",DRFT 1214
"Wightman, Kelly",DRFT 1215
"McGarvie, Bruce",DRFT 1216
"Della-Savia, Maurice",DRFT 1225
"Wightman, Kelly",DRFT 1225
"McGarvie, Bruce",DRFT 1286
"Miro, Carolino",DRFT 1293
"Miro, Carolino",DRFT 1295
"Miro, Carolino",DRFT 1296
